time,active_energy_burned,basal_energy_burned,heart_rate,physical_effort
2025-06-05 17:58:54+02:00,0.077,0.066,56.0,
2025-06-05 17:58:56+02:00,0.077,0.066,,
2025-06-05 17:58:59+02:00,0.077,0.066,,
2025-06-05 17:59:00+02:00,,,54.0,
2025-06-05 17:59:01+02:00,0.077,0.066,,
2025-06-05 17:59:02+02:00,,,54.0,
2025-06-05 17:59:04+02:00,0.077,0.066,,5.5
2025-06-05 17:59:06+02:00,0.082,0.066,,
2025-06-05 17:59:08+02:00,,,56.0,
2025-06-05 17:59:09+02:00,0.082,0.066,,
2025-06-05 17:59:11+02:00,0.091,0.066,,
2025-06-05 17:59:14+02:00,0.091,0.066,,
2025-06-05 17:59:15+02:00,,,58.0,
2025-06-05 17:59:17+02:00,0.091,0.066,,
2025-06-05 17:59:19+02:00,0.077,0.066,,4.0
2025-06-05 17:59:21+02:00,,,58.0,
2025-06-05 17:59:22+02:00,0.077,0.066,,
2025-06-05 17:59:23+02:00,,,58.0,
2025-06-05 17:59:24+02:00,0.077,0.066,,
2025-06-05 17:59:27+02:00,0.077,0.066,58.0,5.3
2025-06-05 17:59:29+02:00,0.091,0.066,,
2025-06-05 17:59:32+02:00,0.095,0.066,,
2025-06-05 17:59:33+02:00,,,59.0,
2025-06-05 17:59:34+02:00,0.095,0.066,,
2025-06-05 17:59:37+02:00,0.082,0.066,,
2025-06-05 17:59:40+02:00,0.077,0.066,,
2025-06-05 17:59:41+02:00,,,56.0,
2025-06-05 17:59:42+02:00,0.041,0.066,,3.4
2025-06-05 17:59:45+02:00,0.041,0.066,55.0,
2025-06-05 17:59:47+02:00,0.041,0.066,,
2025-06-05 17:59:49+02:00,,,55.0,
2025-06-05 17:59:50+02:00,0.077,0.066,,
2025-06-05 17:59:52+02:00,0.078,0.066,,6.3
2025-06-05 17:59:55+02:00,0.078,0.066,55.0,
2025-06-05 17:59:57+02:00,,,55.0,
2025-06-05 17:59:58+02:00,0.078,0.066,,
2025-06-05 18:00:00+02:00,0.078,0.066,,
2025-06-05 18:00:03+02:00,0.099,0.066,,
2025-06-05 18:00:04+02:00,,,60.0,
2025-06-05 18:00:05+02:00,0.099,0.066,,
2025-06-05 18:00:08+02:00,0.095,0.066,59.0,
2025-06-05 18:00:10+02:00,0.095,0.066,,
